"?""ID""",Severity,Class,Last Update,Initial Update,Count,Description
46,Caution,Power,2/15/2025 2:34,2/15/2025 2:34,2,"Smart Storage Battery failure (Battery 1, service information: 0x0A). Action: Gather AHS log and contact Support"
45,Caution,POST Message,2/15/2025 2:32,2/15/2025 2:32,1,POST Error: 313-HPE Smart Storage Battery 1 Failure - Battery Shutdown Event Code: 0x0400. Action: Restart system. Contact HPE support if condition persists.
44,Caution,Power,11/11/2024 15:18,11/11/2024 15:18,1,Smart Storage Battery pre-failure (Battery 1). Action: 1. Consult server troubleshooting guide. 2 Gather AHS log and contact Support
43,Repaired,Power,5/25/2024 23:20,5/25/2024 20:57,1,System Power Supplies Not Redundant
42,Repaired,Power,5/25/2024 23:20,5/25/2024 20:57,1,"System Power Supply: Input Power Loss or Unplugged Power Cord, Verify Power Supply Input (Power Supply 1)"
41,Repaired,Power,4/27/2024 6:34,4/27/2024 2:03,1,System Power Supplies Not Redundant
40,Repaired,Power,4/27/2024 6:34,4/27/2024 2:03,1,"System Power Supply: Input Power Loss or Unplugged Power Cord, Verify Power Supply Input (Power Supply 2)"
39,Repaired,Power,10/21/2023 13:44,10/21/2023 13:44,1,System Power Supplies Not Redundant
38,Repaired,Power,10/21/2023 13:44,10/21/2023 13:44,1,"System Power Supply: Input Power Loss or Unplugged Power Cord, Verify Power Supply Input (Power Supply 1)"
37,Repaired,Power,10/21/2023 13:44,10/21/2023 13:44,1,System Power Supplies Not Redundant
36,Repaired,Power,10/21/2023 13:44,10/21/2023 13:44,1,"System Power Supply: Input Power Loss or Unplugged Power Cord, Verify Power Supply Input (Power Supply 2)"
35,Repaired,Drive Array,10/20/2023 12:52,10/20/2023 12:51,3,"Internal Storage Enclosure Device Failure (Bay 2, Box 1, Port 1I, Slot 0)"
34,Informational,Power,10/20/2023 12:35,10/20/2023 12:35,1,System Power Supply Inserted (Power Supply 1)
33,Informational,Power,10/20/2023 12:33,10/20/2023 12:33,1,System Power Supply Removed (Power Supply 1)
32,Repaired,Power,10/20/2023 12:35,10/20/2023 12:33,1,System Power Supplies Not Redundant
31,Repaired,Power,10/20/2023 12:35,10/20/2023 12:33,1,"System Power Supply: Input Power Loss or Unplugged Power Cord, Verify Power Supply Input (Power Supply 1)"
30,Repaired,Power,10/20/2023 12:32,10/20/2023 12:32,1,"System Power Supply: Input Power Loss or Unplugged Power Cord, Verify Power Supply Input (Power Supply 2)"
29,Informational,Power,10/20/2023 12:32,10/20/2023 12:32,1,System Power Supply Inserted (Power Supply 2)
28,Repaired,Power,10/20/2023 12:32,10/20/2023 12:30,1,System Power Supplies Not Redundant
27,Informational,Power,10/20/2023 12:30,10/20/2023 12:30,1,System Power Supply Removed (Power Supply 2)
