Assigned Group,Number,Created Date,Close Date,Case Type,Priority,Summary,Type,Month
REFINITIV_Hosting_ServiceDesk,INC000005005285,05/03/2024 00:33,12/01/2025 20:00,User Service Restoration,4 - Low,Client unable to receive alert // [#INC-478009],Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005181941,21/11/2024 21:37,30/01/2025 20:00,User Service Restoration,3 - Medium,Monitoring Alert: High disk usage -  volume C is at 4% free,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005188540,03/12/2024 22:13,27/01/2025 20:00,User Service Restoration,3 - Medium,Monitoring Alert: SVC_OpswareAgent = 0,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005196356,15/12/2024 18:38,08/01/2025 20:00,User Service Restoration,2 - High,"Monitoring Alert: HARDWARE Event:Fan Failure (Fan 7, Location System) has been repaired",Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005199789,20/12/2024 12:49,02/01/2025 20:00,User Service Restoration,2 - High,Monitoring Alert: s627203fr5sl004 cmaeventd[1923]: Physical drive failed: Port 1I Box 1 Bay 1 of E,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005199858,20/12/2024 22:26,15/01/2025 20:00,User Service Restoration,3 - Medium,HDD2 failure on ESNJ2P2SLDP01A server,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005200232,22/12/2024 18:02,08/01/2025 20:00,User Service Restoration,2 - High,Monitoring Alert: HARDWARE Event:System Fans Not Redundant (Location System),Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005199710,22/12/2024 23:22,18/01/2025 20:00,User Service Restoration,3 - Medium,Request to allow SSH Access to SMTB new servers,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005200972,23/12/2024 23:09,04/01/2025 20:00,User Service Restoration,4 - Low,Monitoring Alert: 10.144.128.13 is not reachable,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005201076,24/12/2024 12:09,02/01/2025 20:00,User Service Restoration,2 - High,Monitoring Alert: s640066jp6sl114 cmaeventd[5559]: Physical drive failed: Port 1I Box 1 Bay 1 of E,Incident,Jan-25
REFINITIV_Hosting_ServiceDesk,INC000005201081,24/12/2024 12:33,02/01/2025 20:00,User Service Restoration,2 - High,Monitoring Alert: Heartbeat missing since 12/24/24 18:25:35 - 7,Incident,Jan-25
