timestamp,machine_id,temperature,vibration,pressure,current,hard_disk_status,fan_speed,power_supply_status,network_card_status,motherboard_status,hardware_failure_type,failure
2025-07-24 13:00:00,101,70.2,0.08,39.8,10.2,normal,1800,normal,normal,normal,,0
2025-07-24 13:01:00,101,71.0,0.07,39.7,10.1,normal,1850,normal,normal,normal,,0
2025-07-24 13:02:00,101,70.8,0.09,39.9,10.2,normal,1800,normal,normal,normal,,0
2025-07-24 13:03:00,101,85.3,0.23,41.2,11.5,failed,1800,normal,normal,normal,hard_disk,1
2025-07-24 13:04:00,101,70.4,0.08,39.6,10.0,normal,1750,normal,normal,normal,,0
2025-07-24 13:05:00,101,70.6,0.08,39.8,10.2,normal,1800,normal,normal,normal,,0
2025-07-24 13:06:00,101,71.1,0.08,39.9,10.3,normal,1800,normal,normal,normal,,0
2025-07-24 13:07:00,101,70.9,0.09,40.0,10.2,normal,1800,normal,normal,normal,,0
2025-07-24 13:08:00,101,71.3,0.1,40.1,10.4,normal,1850,normal,normal,normal,,0
2025-07-24 13:09:00,101,88.7,0.31,42.0,12.8,normal,1800,normal,normal,failed,motherboard,1
2025-07-24 13:10:00,101,71.0,0.08,39.8,10.1,normal,1800,normal,normal,normal,,0
2025-07-24 13:11:00,101,71.2,0.09,40.0,10.3,normal,1800,normal,normal,normal,,0
2025-07-24 13:12:00,101,70.8,0.08,39.7,10.0,normal,1800,normal,normal,normal,,0
2025-07-24 13:13:00,101,71.5,0.11,40.3,10.5,normal,1850,warning,normal,normal,,0
2025-07-24 13:14:00,101,72.0,0.12,40.6,10.7,normal,1850,warning,normal,normal,,0
2025-07-24 13:15:00,101,92.5,0.41,43.8,14.2,failed,1800,failed,failed,failed,power_supply,1
2025-07-24 13:16:00,101,71.1,0.08,39.9,10.2,normal,1800,normal,normal,normal,,0
2025-07-24 13:17:00,101,70.9,0.09,39.8,10.1,normal,1800,normal,normal,normal,,0
2025-07-24 13:18:00,101,71.3,0.1,40.1,10.3,normal,1850,normal,normal,normal,,0
2025-07-24 13:19:00,101,71.0,0.08,39.9,10.2,normal,1800,normal,normal,normal,,0
2025-07-24 13:20:00,101,87.4,0.29,41.8,12.4,failed,1800,normal,normal,normal,hard_disk,1
2025-07-24 13:21:00,101,71.2,0.09,40.0,10.3,normal,1800,normal,normal,normal,,0
2025-07-24 13:22:00,101,70.8,0.08,39.7,10.0,normal,1800,normal,normal,normal,,0
2025-07-24 13:23:00,101,71.4,0.1,40.2,10.4,normal,1850,normal,normal,normal,,0
2025-07-24 13:24:00,101,71.1,0.09,40.0,10.2,normal,1800,normal,normal,normal,,0
2025-07-24 13:25:00,101,70.9,0.08,39.8,10.1,normal,1800,normal,normal,normal,,0
2025-07-24 13:00:00,102,69.5,0.07,38.9,9.9,normal,1900,normal,normal,normal,,0
2025-07-24 13:01:00,102,69.7,0.07,39.0,10.0,normal,1900,normal,normal,normal,,0
2025-07-24 13:02:00,102,69.8,0.09,39.2,10.2,normal,1900,normal,normal,normal,,0
2025-07-24 13:03:00,102,90.1,0.35,42.5,13.7,normal,800,normal,normal,normal,fan,1
2025-07-24 13:04:00,102,70.1,0.08,39.1,10.1,normal,1900,normal,normal,normal,,0
2025-07-24 13:05:00,102,69.9,0.07,39.0,10.0,normal,1900,normal,normal,normal,,0
2025-07-24 13:06:00,102,70.3,0.08,39.3,10.2,normal,1900,normal,normal,normal,,0
2025-07-24 13:07:00,102,70.0,0.07,39.1,10.1,normal,1900,normal,normal,normal,,0
2025-07-24 13:08:00,102,70.4,0.09,39.4,10.3,normal,1900,normal,normal,normal,,0
2025-07-24 13:09:00,102,91.2,0.38,42.8,13.9,normal,750,normal,normal,normal,fan,1
2025-07-24 13:10:00,102,70.2,0.08,39.2,10.2,normal,1900,normal,normal,normal,,0
2025-07-24 13:11:00,102,70.5,0.09,39.5,10.4,normal,1900,warning,normal,normal,,0
2025-07-24 13:12:00,102,71.0,0.11,39.8,10.6,normal,1900,warning,normal,normal,,0
2025-07-24 13:13:00,102,71.5,0.12,40.1,10.8,normal,1900,failed,failed,normal,power_supply,1
2025-07-24 13:14:00,102,70.3,0.08,39.3,10.2,normal,1900,normal,normal,normal,,0
2025-07-24 13:15:00,102,70.1,0.07,39.0,10.0,normal,1900,normal,normal,normal,,0
2025-07-24 13:16:00,102,70.6,0.09,39.6,10.3,normal,1900,normal,normal,normal,,0
2025-07-24 13:17:00,102,70.2,0.08,39.2,10.1,normal,1900,normal,normal,normal,,0
2025-07-24 13:18:00,102,70.7,0.1,39.7,10.4,normal,1900,normal,normal,normal,,0
2025-07-24 13:19:00,102,70.4,0.08,39.4,10.2,normal,1900,normal,normal,normal,,0
2025-07-24 13:20:00,102,90.5,0.36,42.6,13.8,normal,800,normal,normal,normal,fan,1
2025-07-24 13:21:00,102,70.3,0.08,39.3,10.2,normal,1900,normal,normal,normal,,0
2025-07-24 13:00:00,103,72.5,0.1,40.1,10.3,normal,2000,normal,normal,normal,,0
2025-07-24 13:01:00,103,73.0,0.11,40.5,10.4,normal,2000,warning,normal,normal,power_supply,1
2025-07-24 13:02:00,103,72.8,0.1,40.3,10.3,normal,2000,normal,normal,normal,,0
2025-07-24 13:03:00,103,72.9,0.1,40.4,10.3,normal,2000,normal,failed,normal,network_card,1
2025-07-24 13:04:00,103,72.7,0.11,40.2,10.2,normal,2000,normal,normal,normal,,0
2025-07-24 13:05:00,103,72.6,0.1,40.1,10.2,normal,2000,normal,normal,failed,motherboard,1
2025-07-24 13:06:00,103,72.8,0.11,40.3,10.4,normal,2000,normal,normal,normal,,0
2025-07-24 13:07:00,103,73.1,0.12,40.6,10.6,normal,2000,warning,normal,normal,,0
2025-07-24 13:08:00,103,73.5,0.13,40.9,10.8,normal,2000,warning,normal,normal,,0
2025-07-24 13:09:00,103,74.0,0.15,41.3,11.1,normal,2000,failed,failed,failed,power_supply,1
2025-07-24 13:10:00,103,72.7,0.1,40.2,10.3,normal,2000,normal,normal,normal,,0
2025-07-24 13:11:00,103,72.9,0.11,40.4,10.4,normal,2000,normal,normal,normal,,0
2025-07-24 13:12:00,103,72.6,0.1,40.1,10.2,normal,2000,normal,normal,normal,,0
2025-07-24 13:13:00,103,73.0,0.12,40.5,10.5,normal,2000,normal,failed,normal,network_card,1
2025-07-24 13:14:00,103,72.8,0.11,40.3,10.4,normal,2000,normal,normal,normal,,0
2025-07-24 13:15:00,103,72.5,0.1,40.0,10.1,normal,2000,normal,normal,normal,,0
2025-07-24 13:16:00,103,73.2,0.13,40.7,10.7,normal,2000,warning,normal,normal,,0
2025-07-24 13:17:00,103,73.6,0.14,41.0,10.9,normal,2000,warning,normal,normal,,0
2025-07-24 13:18:00,103,74.1,0.16,41.4,11.2,normal,2000,failed,failed,failed,power_supply,1
2025-07-24 13:19:00,103,72.6,0.1,40.1,10.2,normal,2000,normal,normal,normal,,0
2025-07-24 13:20:00,103,72.9,0.11,40.4,10.4,normal,2000,normal,normal,failed,motherboard,1
2025-07-24 13:21:00,103,72.7,0.1,40.2,10.3,normal,2000,normal,normal,normal,,0
2025-07-24 13:00:00,104,68.0,0.06,38.0,9.5,normal,2000,normal,normal,normal,,0
2025-07-24 13:01:00,104,68.5,0.07,38.3,9.7,normal,2000,normal,normal,normal,,0
2025-07-24 13:02:00,104,69.0,0.08,38.6,9.9,normal,2000,normal,normal,normal,,0
2025-07-24 13:03:00,104,85.0,0.25,41.0,11.8,failed,2000,normal,normal,normal,hard_disk,1
2025-07-24 13:04:00,104,68.2,0.06,38.1,9.6,normal,2000,normal,normal,normal,,0
2025-07-24 13:05:00,104,68.7,0.07,38.4,9.8,normal,2000,normal,normal,normal,,0
2025-07-24 13:06:00,104,69.2,0.08,38.7,10.0,normal,2000,normal,normal,normal,,0
2025-07-24 13:07:00,104,68.4,0.07,38.2,9.7,normal,2000,normal,normal,normal,,0
2025-07-24 13:08:00,104,69.1,0.08,38.8,10.1,normal,2000,normal,normal,normal,,0
2025-07-24 13:09:00,104,86.2,0.27,41.3,12.0,failed,2000,normal,normal,normal,hard_disk,1
2025-07-24 13:10:00,104,68.6,0.07,38.3,9.8,normal,2000,normal,normal,normal,,0
2025-07-24 13:11:00,104,69.3,0.09,38.9,10.2,normal,2000,normal,normal,normal,,0
2025-07-24 13:12:00,104,68.8,0.07,38.5,9.9,normal,2000,normal,normal,normal,,0
2025-07-24 13:13:00,104,69.4,0.08,39.0,10.3,normal,2000,normal,normal,normal,,0
