timestamp,cpu_percent,cpu_frequency,memory_percent,memory_available_gb,disk_read_mb,disk_write_mb,network_sent_mb,network_recv_mb,,
27:47.0,14.9,1700,53.6,7.25,8.32,1.93,0.06,0.03,,
27:49.2,39.5,1700,53.7,7.25,4.85,0,0,0,,
27:51.3,20.5,1700,53.9,7.2,72.55,1.88,0.01,0.01,,
27:53.6,11.8,1700,54.4,7.13,66.79,3.42,0,0,,
27:55.8,9.9,1700,55,7.04,55.47,7.3,0,0,,
27:58.1,9.9,1700,55.7,6.93,6.66,0.02,0,0,,
28:00.3,5.6,1700,55.8,6.91,4.01,3.45,0,0,,
28:02.6,10.5,1700,55.7,6.92,5.21,7.06,0,0,,
28:04.8,9.5,1700,55.8,6.91,7.67,0.84,0,0,,
28:07.0,18.8,1700,55.8,6.91,4.43,0.57,0,0.01,,
28:09.2,39,1700,55.8,6.92,11.93,11.53,0,0,,
28:11.5,49.4,1700,59.6,6.32,2.85,0,0,0,,
28:13.8,45.3,1700,60.9,6.11,1.56,3.05,0,0,,
28:16.1,28.2,1700,61.3,6.06,1.31,9.2,0,0,,
28:18.3,22.8,1700,72.2,4.34,5,0,0,0,,
28:20.5,36.1,1700,86.5,2.12,8.38,6.98,0,0,,
28:22.7,20,1700,98.5,0.24,27.52,6.67,0,0,,
28:25.0,25.6,1700,88.9,1.73,23.8,10.71,0,0,,
28:27.2,22.7,1700,80.2,3.1,11.91,15.32,0,0,,
28:29.4,17.9,1700,95.2,0.75,8.84,32.52,0,0,,
28:31.6,33.3,1700,99.8,0.03,45.44,1.02,0,0,,
28:33.9,21.9,1700,99.5,0.08,41.5,8.47,0,0,,
28:36.3,8.9,1700,100,0,70.83,33.53,0,0,,
28:38.9,19.3,1700,100,0,104.52,33.34,0,0,,
28:41.1,29.3,1700,98.8,0.18,183.91,8.02,0,0,,
28:43.4,13.9,1700,44.4,8.7,45.54,0.89,0,0,,
28:45.6,10,1700,44.9,8.63,21.92,0,0,0,,
28:45.6,10,1700,44.9,8.63,21.92,0,0,0,,
28:47.8,4.9,1700,45,8.59,62.97,0.49,0.01,0.02,,
28:47.8,4.9,1700,45,8.59,62.97,0.49,0.01,0.02,,
28:50.1,17.3,1700,45.2,8.57,68.63,0,0.4,0.02,,
28:50.1,17.3,1700,45.2,8.57,68.63,0,0.4,0.02,,
28:52.4,9.6,1700,45.6,8.51,29.56,0,0,0.01,,
28:52.4,9.6,1700,45.6,8.51,29.56,0,0,0.01,,
28:52.4,9.6,1700,45.6,8.51,29.56,0,0,0.01,,
28:54.7,17.1,1700,45.8,8.48,13.47,0.78,0,0.01,,
28:54.7,17.1,1700,45.8,8.48,13.47,0.78,0,0.01,,
28:56.9,1.3,1700,45.9,8.47,14.91,0,0.01,0.01,,
28:56.9,1.3,1700,45.9,8.47,14.91,0,0.01,0.01,,
28:59.2,2.8,1700,45.8,8.47,10.14,0,0,0.01,,
28:59.2,2.8,1700,45.8,8.47,10.14,0,0,0.01,,
29:01.5,5.3,1700,45.9,8.47,28.76,1.19,0,0.01,,
29:01.5,5.3,1700,45.9,8.47,28.76,1.19,0,0.01,,
29:03.7,6.6,1700,46,8.44,11.89,0.35,0,0.01,,
29:03.7,6.6,1700,46,8.44,11.89,0.35,0,0.01,,
29:06.0,9,1700,45.7,8.5,18.56,0,0.01,0.01,,
29:06.0,9,1700,45.7,8.5,18.56,0,0.01,0.01,,
29:08.3,10.7,1700,45.5,8.53,17.3,0.77,0,0.01,,
29:08.3,10.7,1700,45.5,8.53,17.3,0.77,0,0.01,,
