timestamp,machine_id,temperature,vibration,pressure,current,hard_disk_status,fan_speed,power_supply_status,network_card_status,motherboard_status,hardware_failure_type,failure
2025-07-29 13:00:00,201,70.2,0.08,39.8,10.2,normal,1800,normal,normal,normal,,0
2025-07-29 13:01:00,201,71.0,0.07,39.7,10.1,normal,1850,normal,normal,normal,,0
2025-07-29 13:02:00,201,72.5,0.12,40.1,10.3,normal,1750,normal,normal,normal,,0
2025-07-29 13:03:00,201,75.8,0.15,40.8,10.6,normal,1650,normal,normal,normal,,0
2025-07-29 13:04:00,201,78.2,0.18,41.2,11.0,normal,1550,normal,normal,normal,,0
2025-07-29 13:05:00,201,82.1,0.22,41.8,11.4,normal,1450,normal,normal,normal,fan,1
2025-07-29 13:06:00,201,85.3,0.26,42.2,11.8,normal,1350,normal,normal,normal,fan,1
2025-07-29 13:07:00,201,88.7,0.30,42.8,12.3,normal,1200,normal,normal,normal,fan,1
2025-07-29 13:08:00,201,90.1,0.35,43.5,13.7,normal,800,normal,normal,normal,fan,1
2025-07-29 13:09:00,201,91.5,0.38,44.0,14.2,normal,600,normal,normal,normal,fan,1
2025-07-29 13:00:00,202,69.5,0.07,38.9,9.9,normal,1900,normal,normal,normal,,0
2025-07-29 13:01:00,202,70.2,0.08,39.1,10.0,normal,1900,normal,normal,normal,,0
2025-07-29 13:02:00,202,71.8,0.11,39.5,10.2,normal,1800,normal,normal,normal,,0
2025-07-29 13:03:00,202,74.3,0.14,40.0,10.5,normal,1700,normal,normal,normal,,0
2025-07-29 13:04:00,202,77.9,0.19,40.7,10.9,normal,1600,normal,normal,normal,,0
2025-07-29 13:05:00,202,81.5,0.23,41.3,11.3,normal,1500,normal,normal,normal,fan,1
2025-07-29 13:06:00,202,84.8,0.28,41.9,11.7,normal,1400,normal,normal,normal,fan,1
2025-07-29 13:07:00,202,87.6,0.32,42.6,12.2,normal,1150,normal,normal,normal,fan,1
2025-07-29 13:08:00,202,89.3,0.36,43.2,12.8,normal,950,normal,normal,normal,fan,1
2025-07-29 13:09:00,202,90.8,0.40,43.8,13.5,normal,750,normal,normal,normal,fan,1
2025-07-29 13:00:00,203,72.5,0.10,40.1,10.3,normal,2000,normal,normal,normal,,0
2025-07-29 13:01:00,203,73.0,0.11,40.5,10.4,normal,2000,normal,normal,normal,,0
2025-07-29 13:02:00,203,72.8,0.10,40.3,10.3,normal,2000,normal,normal,normal,,0
2025-07-29 13:03:00,203,73.2,0.12,40.6,10.4,normal,1950,normal,normal,normal,,0
2025-07-29 13:04:00,203,73.8,0.13,40.8,10.5,normal,1900,normal,normal,normal,,0
2025-07-29 13:05:00,203,74.1,0.11,40.4,10.3,normal,2000,normal,normal,normal,,0
