timestamp,machine_id,temperature,vibration,pressure,current,hard_disk_status,fan_speed,power_supply_status,network_card_status,motherboard_status,hardware_failure_type,failure
2025-07-30 06:00:00,301,68.5,0.06,38.2,9.5,normal,2100,normal,normal,normal,,0
2025-07-30 06:01:00,301,69.1,0.07,38.5,9.6,normal,2080,normal,normal,normal,,0
2025-07-30 06:02:00,301,69.8,0.08,38.8,9.8,normal,2060,normal,normal,normal,,0
2025-07-30 06:03:00,301,70.5,0.09,39.2,10.0,normal,2040,normal,normal,normal,,0
2025-07-30 06:04:00,301,71.2,0.10,39.6,10.2,normal,2020,normal,normal,normal,,0
2025-07-30 06:05:00,301,71.9,0.11,40.0,10.4,normal,2000,normal,normal,normal,,0
2025-07-30 06:06:00,301,72.6,0.12,40.4,10.6,normal,1980,normal,normal,normal,,0
2025-07-30 06:07:00,301,73.3,0.13,40.8,10.8,normal,1960,normal,normal,normal,,0
2025-07-30 06:08:00,301,74.0,0.14,41.2,11.0,normal,1940,normal,normal,normal,,0
2025-07-30 06:09:00,301,74.7,0.15,41.6,11.2,normal,1920,normal,normal,normal,,0
2025-07-30 06:10:00,301,75.4,0.16,42.0,11.4,normal,1900,normal,normal,normal,,0
2025-07-30 06:11:00,301,76.1,0.17,42.4,11.6,normal,1880,normal,normal,normal,,0
2025-07-30 06:12:00,301,76.8,0.18,42.8,11.8,normal,1860,normal,normal,normal,,0
2025-07-30 06:13:00,301,77.5,0.19,43.2,12.0,normal,1840,normal,normal,normal,,0
2025-07-30 06:14:00,301,78.2,0.20,43.6,12.2,normal,1820,normal,normal,normal,,0
2025-07-30 06:15:00,301,78.9,0.21,44.0,12.4,normal,1800,normal,normal,normal,,0
2025-07-30 06:16:00,301,79.6,0.22,44.4,12.6,normal,1780,normal,normal,normal,,0
2025-07-30 06:17:00,301,80.3,0.23,44.8,12.8,normal,1760,normal,normal,normal,,0
2025-07-30 06:18:00,301,81.0,0.24,45.2,13.0,normal,1740,normal,normal,normal,,0
2025-07-30 06:19:00,301,81.7,0.25,45.6,13.2,normal,1720,normal,normal,normal,,0
2025-07-30 06:20:00,301,82.4,0.26,46.0,13.4,normal,1700,normal,normal,normal,,0
2025-07-30 06:21:00,301,83.1,0.27,46.4,13.6,normal,1680,normal,normal,normal,,0
2025-07-30 06:22:00,301,83.8,0.28,46.8,13.8,normal,1660,normal,normal,normal,,0
2025-07-30 06:23:00,301,84.5,0.29,47.2,14.0,normal,1640,normal,normal,normal,,0
2025-07-30 06:24:00,301,85.2,0.30,47.6,14.2,normal,1620,normal,normal,normal,,0
2025-07-30 06:25:00,301,85.9,0.31,48.0,14.4,normal,1600,normal,normal,normal,fan,1
2025-07-30 06:26:00,301,86.6,0.32,48.4,14.6,normal,1580,normal,normal,normal,fan,1
2025-07-30 06:27:00,301,87.3,0.33,48.8,14.8,normal,1560,normal,normal,normal,fan,1
2025-07-30 06:28:00,301,88.0,0.34,49.2,15.0,normal,1540,normal,normal,normal,fan,1
2025-07-30 06:29:00,301,88.7,0.35,49.6,15.2,normal,1520,normal,normal,normal,fan,1
2025-07-30 06:30:00,301,89.4,0.36,50.0,15.4,normal,1500,normal,normal,normal,fan,1
2025-07-30 06:00:00,302,70.1,0.08,39.5,10.1,normal,1950,normal,normal,normal,,0
2025-07-30 06:01:00,302,70.7,0.08,39.8,10.2,normal,1940,normal,normal,normal,,0
2025-07-30 06:02:00,302,71.3,0.09,40.1,10.3,normal,1930,normal,normal,normal,,0
2025-07-30 06:03:00,302,71.9,0.10,40.4,10.4,normal,1920,normal,normal,normal,,0
2025-07-30 06:04:00,302,72.5,0.11,40.7,10.5,normal,1910,normal,normal,normal,,0
2025-07-30 06:05:00,302,73.1,0.12,41.0,10.6,degraded,1900,normal,normal,normal,,0
2025-07-30 06:06:00,302,73.7,0.13,41.3,10.7,degraded,1890,normal,normal,normal,,0
2025-07-30 06:07:00,302,74.3,0.14,41.6,10.8,degraded,1880,normal,normal,normal,hard_disk,1
2025-07-30 06:08:00,302,74.9,0.15,41.9,10.9,degraded,1870,normal,normal,normal,hard_disk,1
2025-07-30 06:09:00,302,75.5,0.16,42.2,11.0,degraded,1860,normal,normal,normal,hard_disk,1
2025-07-30 06:10:00,302,76.1,0.17,42.5,11.1,failure,1850,normal,normal,normal,hard_disk,1
2025-07-30 06:11:00,302,76.7,0.18,42.8,11.2,failure,1840,normal,normal,normal,hard_disk,1
2025-07-30 06:12:00,302,77.3,0.19,43.1,11.3,failure,1830,normal,normal,normal,hard_disk,1
2025-07-30 06:13:00,302,77.9,0.20,43.4,11.4,failure,1820,normal,normal,normal,hard_disk,1
2025-07-30 06:14:00,302,78.5,0.21,43.7,11.5,failure,1810,normal,normal,normal,hard_disk,1
2025-07-30 06:15:00,302,79.1,0.22,44.0,11.6,failure,1800,normal,normal,normal,hard_disk,1
2025-07-30 06:16:00,302,79.7,0.23,44.3,11.7,failure,1790,normal,normal,normal,hard_disk,1
2025-07-30 06:17:00,302,80.3,0.24,44.6,11.8,failure,1780,normal,normal,normal,hard_disk,1
2025-07-30 06:18:00,302,80.9,0.25,44.9,11.9,failure,1770,normal,normal,normal,hard_disk,1
2025-07-30 06:19:00,302,81.5,0.26,45.2,12.0,failure,1760,normal,normal,normal,hard_disk,1
2025-07-30 06:20:00,302,82.1,0.27,45.5,12.1,failure,1750,normal,normal,normal,hard_disk,1
2025-07-30 06:21:00,302,82.7,0.28,45.8,12.2,failure,1740,normal,normal,normal,hard_disk,1
2025-07-30 06:22:00,302,83.3,0.29,46.1,12.3,failure,1730,normal,normal,normal,hard_disk,1
2025-07-30 06:23:00,302,83.9,0.30,46.4,12.4,failure,1720,normal,normal,normal,hard_disk,1
2025-07-30 06:24:00,302,84.5,0.31,46.7,12.5,failure,1710,normal,normal,normal,hard_disk,1
2025-07-30 06:25:00,302,85.1,0.32,47.0,12.6,failure,1700,normal,normal,normal,hard_disk,1
2025-07-30 06:26:00,302,85.7,0.33,47.3,12.7,failure,1690,normal,normal,normal,hard_disk,1
2025-07-30 06:27:00,302,86.3,0.34,47.6,12.8,failure,1680,normal,normal,normal,hard_disk,1
2025-07-30 06:28:00,302,86.9,0.35,47.9,12.9,failure,1670,normal,normal,normal,hard_disk,1
2025-07-30 06:29:00,302,87.5,0.36,48.2,13.0,failure,1660,normal,normal,normal,hard_disk,1
2025-07-30 06:30:00,302,88.1,0.37,48.5,13.1,failure,1650,normal,normal,normal,hard_disk,1
2025-07-30 06:00:00,303,67.2,0.05,37.8,9.2,normal,2200,normal,normal,normal,,0
2025-07-30 06:01:00,303,67.8,0.06,38.1,9.3,normal,2180,normal,normal,normal,,0
2025-07-30 06:02:00,303,68.4,0.06,38.4,9.4,normal,2160,normal,normal,normal,,0
2025-07-30 06:03:00,303,69.0,0.07,38.7,9.5,normal,2140,normal,normal,normal,,0
2025-07-30 06:04:00,303,69.6,0.07,39.0,9.6,normal,2120,normal,normal,normal,,0
2025-07-30 06:05:00,303,70.2,0.08,39.3,9.7,normal,2100,normal,degraded,normal,,0
2025-07-30 06:06:00,303,70.8,0.08,39.6,9.8,normal,2080,normal,degraded,normal,,0
2025-07-30 06:07:00,303,71.4,0.09,39.9,9.9,normal,2060,normal,degraded,normal,network,1
2025-07-30 06:08:00,303,72.0,0.09,40.2,10.0,normal,2040,normal,degraded,normal,network,1
2025-07-30 06:09:00,303,72.6,0.10,40.5,10.1,normal,2020,normal,failure,normal,network,1
2025-07-30 06:10:00,303,73.2,0.10,40.8,10.2,normal,2000,normal,failure,normal,network,1
2025-07-30 06:11:00,303,73.8,0.11,41.1,10.3,normal,1980,normal,failure,normal,network,1
2025-07-30 06:12:00,303,74.4,0.11,41.4,10.4,normal,1960,normal,failure,normal,network,1
2025-07-30 06:13:00,303,75.0,0.12,41.7,10.5,normal,1940,normal,failure,normal,network,1
2025-07-30 06:14:00,303,75.6,0.12,42.0,10.6,normal,1920,normal,failure,normal,network,1
2025-07-30 06:15:00,303,76.2,0.13,42.3,10.7,normal,1900,normal,failure,normal,network,1
2025-07-30 06:16:00,303,76.8,0.13,42.6,10.8,normal,1880,normal,failure,normal,network,1
2025-07-30 06:17:00,303,77.4,0.14,42.9,10.9,normal,1860,normal,failure,normal,network,1
2025-07-30 06:18:00,303,78.0,0.14,43.2,11.0,normal,1840,normal,failure,normal,network,1
2025-07-30 06:19:00,303,78.6,0.15,43.5,11.1,normal,1820,normal,failure,normal,network,1
2025-07-30 06:20:00,303,79.2,0.15,43.8,11.2,normal,1800,normal,failure,normal,network,1
2025-07-30 06:21:00,303,79.8,0.16,44.1,11.3,normal,1780,normal,failure,normal,network,1
2025-07-30 06:22:00,303,80.4,0.16,44.4,11.4,normal,1760,normal,failure,normal,network,1
2025-07-30 06:23:00,303,81.0,0.17,44.7,11.5,normal,1740,normal,failure,normal,network,1
2025-07-30 06:24:00,303,81.6,0.17,45.0,11.6,normal,1720,normal,failure,normal,network,1
2025-07-30 06:25:00,303,82.2,0.18,45.3,11.7,normal,1700,normal,failure,normal,network,1
2025-07-30 06:26:00,303,82.8,0.18,45.6,11.8,normal,1680,normal,failure,normal,network,1
2025-07-30 06:27:00,303,83.4,0.19,45.9,11.9,normal,1660,normal,failure,normal,network,1
2025-07-30 06:28:00,303,84.0,0.19,46.2,12.0,normal,1640,normal,failure,normal,network,1
2025-07-30 06:29:00,303,84.6,0.20,46.5,12.1,normal,1620,normal,failure,normal,network,1
2025-07-30 06:30:00,303,85.2,0.20,46.8,12.2,normal,1600,normal,failure,normal,network,1
2025-07-30 06:00:00,304,71.5,0.09,40.2,10.3,normal,1900,normal,normal,normal,,0
2025-07-30 06:01:00,304,72.1,0.10,40.5,10.4,normal,1880,normal,normal,normal,,0
2025-07-30 06:02:00,304,72.7,0.11,40.8,10.5,normal,1860,normal,normal,normal,,0
2025-07-30 06:03:00,304,73.3,0.12,41.1,10.6,normal,1840,normal,normal,normal,,0
2025-07-30 06:04:00,304,73.9,0.13,41.4,10.7,normal,1820,normal,normal,degraded,,0
2025-07-30 06:05:00,304,74.5,0.14,41.7,10.8,normal,1800,normal,normal,degraded,,0
2025-07-30 06:06:00,304,75.1,0.15,42.0,10.9,normal,1780,normal,normal,degraded,motherboard,1
2025-07-30 06:07:00,304,75.7,0.16,42.3,11.0,normal,1760,normal,normal,degraded,motherboard,1
2025-07-30 06:08:00,304,76.3,0.17,42.6,11.1,normal,1740,normal,normal,failure,motherboard,1
2025-07-30 06:09:00,304,76.9,0.18,42.9,11.2,normal,1720,normal,normal,failure,motherboard,1
2025-07-30 06:10:00,304,77.5,0.19,43.2,11.3,normal,1700,normal,normal,failure,motherboard,1
2025-07-30 06:11:00,304,78.1,0.20,43.5,11.4,normal,1680,normal,normal,failure,motherboard,1
2025-07-30 06:12:00,304,78.7,0.21,43.8,11.5,normal,1660,normal,normal,failure,motherboard,1
2025-07-30 06:13:00,304,79.3,0.22,44.1,11.6,normal,1640,normal,normal,failure,motherboard,1
2025-07-30 06:14:00,304,79.9,0.23,44.4,11.7,normal,1620,normal,normal,failure,motherboard,1
2025-07-30 06:15:00,304,80.5,0.24,44.7,11.8,normal,1600,normal,normal,failure,motherboard,1
2025-07-30 06:16:00,304,81.1,0.25,45.0,11.9,normal,1580,normal,normal,failure,motherboard,1
2025-07-30 06:17:00,304,81.7,0.26,45.3,12.0,normal,1560,normal,normal,failure,motherboard,1
2025-07-30 06:18:00,304,82.3,0.27,45.6,12.1,normal,1540,normal,normal,failure,motherboard,1
2025-07-30 06:19:00,304,82.9,0.28,45.9,12.2,normal,1520,normal,normal,failure,motherboard,1
2025-07-30 06:20:00,304,83.5,0.29,46.2,12.3,normal,1500,normal,normal,failure,motherboard,1
2025-07-30 06:21:00,304,84.1,0.30,46.5,12.4,normal,1480,normal,normal,failure,motherboard,1
2025-07-30 06:22:00,304,84.7,0.31,46.8,12.5,normal,1460,normal,normal,failure,motherboard,1
2025-07-30 06:23:00,304,85.3,0.32,47.1,12.6,normal,1440,normal,normal,failure,motherboard,1
2025-07-30 06:24:00,304,85.9,0.33,47.4,12.7,normal,1420,normal,normal,failure,motherboard,1
2025-07-30 06:25:00,304,86.5,0.34,47.7,12.8,normal,1400,normal,normal,failure,motherboard,1
2025-07-30 06:26:00,304,87.1,0.35,48.0,12.9,normal,1380,normal,normal,failure,motherboard,1
2025-07-30 06:27:00,304,87.7,0.36,48.3,13.0,normal,1360,normal,normal,failure,motherboard,1
2025-07-30 06:28:00,304,88.3,0.37,48.6,13.1,normal,1340,normal,normal,failure,motherboard,1
2025-07-30 06:29:00,304,88.9,0.38,48.9,13.2,normal,1320,normal,normal,failure,motherboard,1
2025-07-30 06:30:00,304,89.5,0.39,49.2,13.3,normal,1300,normal,normal,failure,motherboard,1
2025-07-30 06:00:00,305,69.8,0.07,39.1,9.9,normal,2050,normal,normal,normal,,0
2025-07-30 06:01:00,305,70.4,0.08,39.4,10.0,normal,2030,degraded,normal,normal,,0
