timestamp,cpu_percent,cpu_frequency,memory_percent,memory_available_gb,disk_read_mb,disk_write_mb,network_sent_mb,network_recv_mb
2025-07-28 20:47:37.026039,10.38,2400.0,45.22,8.76,0.21,2.15,0.67,0.85
2025-07-28 20:48:37.026039,8.39,2400.0,49.3,8.11,1.96,0.11,0.24,1.98
2025-07-28 20:49:37.026039,8.93,2400.0,34.26,10.52,0.88,1.82,1.19,0.53
2025-07-28 20:50:37.026039,18.28,2400.0,26.67,11.73,4.57,1.36,0.48,1.57
2025-07-28 20:51:37.026039,5.38,2400.0,48.0,8.32,4.9,2.71,0.25,1.07
2025-07-28 20:52:37.026039,9.82,2400.0,29.29,11.31,0.85,0.04,0.91,0.73
2025-07-28 20:53:37.026039,11.59,2400.0,34.31,10.51,4.97,1.16,1.76,0.48
2025-07-28 20:54:37.026039,6.39,2400.0,20.66,12.69,1.46,0.69,0.87,1.14
2025-07-28 20:55:37.026039,9.05,2400.0,41.67,9.33,0.99,2.77,1.52,0.51
2025-07-28 20:56:37.026039,11.69,2400.0,21.52,12.56,1.16,1.71,0.29,1.96
2025-07-28 20:57:37.026039,23.42,2400.0,46.91,8.49,2.73,1.84,0.78,1.65
2025-07-28 20:58:37.026039,6.34,2400.0,40.46,9.53,2.18,1.37,1.04,1.31
2025-07-28 20:59:37.026039,24.64,2400.0,36.3,10.19,1.02,0.59,1.11,0.37
2025-07-28 21:00:37.026039,17.24,2400.0,38.5,9.84,3.6,0.13,0.29,1.78
2025-07-28 21:01:37.026039,9.95,2400.0,45.11,8.78,1.07,1.04,1.22,0.38
2025-07-28 21:02:37.026039,15.4,2400.0,43.87,8.98,3.2,1.89,1.44,0.2
2025-07-28 21:03:37.026039,6.09,2400.0,42.25,9.24,3.71,1.79,0.72,0.99
2025-07-28 21:04:37.026039,29.48,2400.0,32.52,10.8,4.17,1.24,1.61,0.91
2025-07-28 21:05:37.026039,15.61,2400.0,21.72,12.52,4.03,0.84,1.07,1.78
2025-07-28 21:06:37.026039,27.18,2400.0,42.23,9.24,0.16,0.35,0.12,1.36
2025-07-28 21:07:37.026039,5.84,2400.0,35.78,10.28,2.59,2.23,0.34,1.85
2025-07-28 21:08:37.026039,21.03,2400.0,25.83,11.87,2.41,2.29,1.27,0.91
2025-07-28 21:09:37.026039,26.8,2400.0,20.92,12.65,2.45,2.46,0.7,1.55
2025-07-28 21:10:37.026039,5.35,2400.0,31.23,11.0,4.71,1.58,1.79,0.47
2025-07-28 21:11:37.026039,14.86,2400.0,35.54,10.31,4.07,2.11,1.59,0.13
2025-07-28 21:12:37.026039,92.5,2400.0,85.2,11.05,156.7,2.3,234.8,1.24
2025-07-28 21:13:37.026039,5.56,2400.0,27.92,11.53,4.25,2.67,0.9,1.13
2025-07-28 21:14:37.026039,29.54,2400.0,46.62,8.54,3.69,2.61,1.0,0.57
2025-07-28 21:15:37.026039,22.49,2400.0,26.66,11.73,1.56,2.39,1.97,0.11
2025-07-28 21:16:37.026039,22.41,2400.0,37.78,9.96,2.24,1.14,1.68,0.05
2025-07-28 21:17:37.026039,24.41,2400.0,49.22,8.12,1.93,2.53,0.52,1.91
2025-07-28 21:18:37.026039,23.95,2400.0,34.86,10.42,1.67,0.5,0.35,0.77
2025-07-28 21:19:37.026039,10.36,2400.0,26.28,11.8,0.77,2.31,0.6,1.57
2025-07-28 21:20:37.026039,17.22,2400.0,27.68,11.57,0.66,0.64,1.79,1.11
2025-07-28 21:21:37.026039,12.32,2400.0,33.97,10.56,0.69,2.61,1.8,0.93
2025-07-28 21:22:37.026039,11.18,2400.0,30.7,11.09,3.14,2.25,0.62,1.11
2025-07-28 21:23:37.026039,16.18,2400.0,22.91,12.33,2.37,1.27,0.69,1.88
2025-07-28 21:24:37.026039,24.3,2400.0,39.21,9.73,2.68,0.69,0.54,0.58
2025-07-28 21:25:37.026039,12.54,2400.0,43.47,9.04,2.97,0.03,1.97,1.43
2025-07-28 21:26:37.026039,29.23,2400.0,33.45,10.65,1.66,1.53,0.6,0.19
2025-07-28 21:27:37.026039,25.47,2400.0,65.0,9.32,0.51,45.2,0.56,1.15
2025-07-28 21:28:37.026039,13.38,2400.0,70.0,9.71,3.74,53.2,1.56,0.12
2025-07-28 21:29:37.026039,14.96,2400.0,75.0,9.6,2.88,61.2,1.65,0.24
2025-07-28 21:30:37.026039,23.3,2400.0,80.0,10.02,1.74,69.2,0.9,0.62
2025-07-28 21:31:37.026039,16.02,2400.0,85.0,11.56,0.62,77.2,1.35,1.4
2025-07-28 21:32:37.026039,11.08,2400.0,90.0,12.01,0.05,85.2,1.32,1.26
2025-07-28 21:33:37.026039,21.82,2400.0,38.6,9.82,2.12,2.37,0.24,0.18
2025-07-28 21:34:37.026039,77.09,2400.0,78.74,3.4,156.56,83.98,73.97,39.17
2025-07-28 21:35:37.026039,12.52,2400.0,44.19,8.93,4.83,2.16,1.21,1.33
2025-07-28 21:36:37.026039,18.18,2400.0,21.33,12.59,2.85,0.55,0.22,1.24
2025-07-28 21:37:37.026039,16.88,2400.0,33.9,10.58,1.27,0.24,1.92,0.88
2025-07-28 21:38:37.026039,17.94,2400.0,46.45,8.57,0.95,0.9,1.35,0.92
2025-07-28 21:39:37.026039,14.86,2400.0,38.46,9.85,2.38,2.24,1.51,0.9
2025-07-28 21:40:37.026039,15.68,2400.0,41.48,9.36,0.52,2.94,1.42,1.79
2025-07-28 21:41:37.026039,19.49,2400.0,47.44,8.41,1.37,2.86,1.95,1.38
2025-07-28 21:42:37.026039,10.87,2400.0,25.98,11.84,0.12,0.71,0.8,0.65
2025-07-28 21:43:37.026039,17.3,2400.0,41.69,9.33,2.74,2.74,1.23,0.27
2025-07-28 21:44:37.026039,28.1,2400.0,31.92,10.89,4.51,2.41,0.3,1.79
2025-07-28 21:45:37.026039,6.13,2400.0,26.08,11.83,1.27,2.64,1.02,1.75
2025-07-28 21:46:37.026039,88.12,2400.0,72.17,4.45,51.87,27.53,247.09,36.51
2025-07-28 21:47:37.026039,78.9,2400.0,45.78,8.68,4.5,0.46,287.3,45.6
2025-07-28 21:48:37.026039,87.23,2400.0,85.78,2.28,88.37,25.74,89.9,16.18
2025-07-28 21:49:37.026039,21.49,2400.0,30.09,11.19,4.03,0.32,1.93,1.54
2025-07-28 21:50:37.026039,16.8,2400.0,26.84,11.71,0.97,2.41,1.0,1.53
2025-07-28 21:51:37.026039,27.95,2400.0,42.87,9.14,0.11,2.97,0.23,1.38
2025-07-28 21:52:37.026039,6.94,2400.0,24.79,12.03,2.33,2.73,0.89,0.38
2025-07-28 21:53:37.026039,29.34,2400.0,26.57,11.75,4.19,2.56,0.5,1.05
2025-07-28 21:54:37.026039,22.24,2400.0,35.95,10.25,3.26,0.51,0.53,1.05
2025-07-28 21:55:37.026039,16.61,2400.0,27.37,11.62,2.99,1.8,1.28,1.79
2025-07-28 21:56:37.026039,23.98,2400.0,44.78,8.84,3.44,1.29,1.64,0.51
2025-07-28 21:57:37.026039,22.36,2400.0,46.15,8.62,4.93,1.54,0.05,0.54
2025-07-28 21:58:37.026039,16.46,2400.0,46.28,8.6,2.89,2.76,1.01,0.79
2025-07-28 21:59:37.026039,20.04,2400.0,32.07,10.87,2.24,1.53,0.23,0.79
2025-07-28 22:00:37.026039,10.75,2400.0,46.16,8.61,3.54,1.33,0.86,0.71
2025-07-28 22:01:37.026039,17.0,2400.0,30.38,11.14,0.98,1.06,0.33,0.49
2025-07-28 22:02:37.026039,25.71,2400.0,24.46,12.09,0.35,1.2,0.18,0.84
2025-07-28 22:03:37.026039,16.92,2400.0,28.2,11.49,3.72,1.13,0.87,1.17
